time,T1,T2,T3
16.5,21.4003088924119,21.0488718823943,21.0088416350121
17,21.4157811089967,21.0518801140133,21.0095836969015
17.5,21.4314124981097,21.0549888236856,21.0103667032392
18,21.4471969773839,21.0581981500609,21.0111916683226
18.5,21.4631286041959,21.0615081768373,21.0120595881401
19,21.4792015727551,21.0649189346655,21.0129714397534
19.5,21.4954102112517,21.0684304030047,21.0139281807255
20,21.511748979062,21.0720425119298,21.0149307485939
20.5,21.5282124640116,21.0757551438923,21.0159800603873
21,21.5447953796927,21.0795681354355,21.017077012183
21.5,21.5614925628369,21.083481278864,21.0182224787047
22,21.5782989707408,21.0874943238708,21.0194173129579
22.5,21.5952096787439,21.0916069791209,21.0206623459025
23,21.6122198777585,21.095818913793,21.0219583861597
23.5,21.6293248718479,21.1001297590814,21.0233062197536
24,21.646520075856,21.1045391096573,21.0247066098839
24.5,21.6638010130835,21.1090465250915,21.0261602967302
25,21.6811633130117,21.1136515312388,21.0276679972854
25.5,21.6986027090732,21.1183536215861,21.029230405218
26,21.716115036467,21.1231522585634,21.0308481907607
26.5,21.7336962300186,21.12804687482,21.0325220006252
27,21.7513423220833,21.1330368744658,21.0342524579417
27.452742042206,21.7690494404924,21.1381216342793,21.0360401622217
27.4527420422062,21.7868138065408,21.1433005048818,21.0378856893437
27.4527420422065,21.8046317330163,21.1485728118807,21.0397895915602
27.5,21.8224996222679,21.1539378569801,21.0417523975245
27.5472579577935,21.8404139643145,21.1593949190616,21.0437746123381
27.6417738733806,21.8583713349915,21.1649432552346,21.0458567176155
27.8308057045548,21.8763683941352,21.1705821018579,21.0479991715673
28,21.8944018838041,21.1763106755321,21.0502024090999
28.5,21.9124686265372,21.1821281740647,21.0524668419308
29,21.9305655236466,21.1880337774078,21.0547928587191
29.5,21.9486895535456,21.1940266485687,21.0571808252101
30,21.9668377701111,21.2001059344958,21.0596310843941
30.5,21.9850073010788,21.2062707669378,21.0621439566767
31,22.0031953464715,21.2125202632792,21.0647197400622
31.5,22.0213991770594,21.2188535273513,21.0673587103481
32,22.0396161328517,21.2252696502195,21.0700611213298
32.5,22.0578436216194,21.2317677109479,21.072827205016
33,22.0760791174476,21.2383467773416,21.075657171853
33.5,22.094320159318,21.2450059066667,21.0785512109585
34,22.11256434972,21.2517441463494,21.0815094903627
34.5,22.1308093532902,21.258560534654,21.0845321572583
35,22.1490528954802,21.2654541013406,21.0876193382565
35.5,22.1672927612504,21.2724238683032,21.0907711396506
36,22.1855267937924,21.2794688501881,21.0939876476855
36.5,22.2037528932755,21.286588054994,21.0972689288323
37,22.2219690156207,21.2937804846529,21.1006150300696
37.5,22.2401731712982,21.301045135594,21.1040259791678
38,22.2583634241508,21.308380999289,21.1075017849795
38.5,22.2765378902406,21.3157870627816,21.1110424377325
39,22.2946947367197,21.3232623091991,21.1146479093278
39.5,22.3128321807233,21.3308057182489,21.1183181536394
40,22.3309484882885,21.3384162666976,21.1220531068177
40.5,22.3490419732895,21.3460929288368,21.1258526875959
41,22.3671109964,21.3538346769325,21.129716797598
41.5,22.3851539640752,21.3616404816593,21.1336453216483
42,22.4031693275534,21.3695093125218,21.1376381280838
42.5,22.4211555818801,21.3774401382608,21.1416950690662
43,22.4391112649507,21.3854319272469,21.1458159808966
43.5,22.4570349565733,21.3934836478598,21.1500006843299
44,22.4749252775515,21.4015942688554,21.1542489848898
44.5,22.4927808887845,21.4097627597205,21.1585606731847
45,22.5106004903874,21.4179880910142,21.1629355252228
45.5,22.5283828208286,21.4262692346987,21.1673733027274
46,22.546126656085,21.4346051644574,21.1718737534521
46.5,22.5638308088152,21.4429948560022,21.1764366114949
47,22.5814941275488,21.4514372873693,21.1810615976115
47.1965875330868,22.5991154958936,21.4599314392049,21.1857484195283
47.1965875330873,22.6166938317579,21.46847629504,21.1904967722532
47.1965875330877,22.6342280865902,21.4770708415548,21.1953063383861
47.5,22.6517172446328,21.4857140688335,21.2001767884271
47.8034124669123,22.6691603221929,21.4944049706093,21.2051077810838
48,22.6865563669272,21.5031425445001,21.2100989635761
48.5,22.7039044571416,21.5119257922346,21.2151499719397
49,22.7212037011063,21.5207537198701,21.2202604313271
49.5,22.7384532363835,21.529625338001,21.2254299563072
50,22.7556522291706,21.5385396619592,21.2306581511614
50.5,22.7727998736558,21.5474957120061,21.2359446101787
51,22.7898953913876,21.5564925135168,21.2412889179472
51.5,22.8069380306575,21.5655290971559,21.2466906496438
52,22.823927065895,21.5746044990468,21.2521493713208
52.5,22.8408617970757,21.5837177609321,21.2576646401901
53,22.8577415491411,21.5928679303286,21.2632360049041
53.5,22.874565671431,21.6020540606735,21.2688630058343
54,22.8913335371274,21.6112752114654,21.2745451753465
54.5,22.9080445427102,21.6205304483973,21.2802820380734
55,22.9246981074236,21.6298188434846,21.2860731111832
55.5,22.9412936727545,21.6391394751853,21.2919179046465
56,22.9578307019209,21.6484914285156,21.2978159214989
56.5,22.9743086793718,21.6578737951586,21.3037666581004
57,22.9907271102968,21.6672856735674,21.3097696043924
57.5,23.0070855201463,21.6767261690633,21.3158242441504
58,23.0233834541614,21.6861943939278,21.3219300552343
58.5,23.0396204769145,21.6956894674895,21.3280865098342
59,23.0557961718579,21.7052105162066,21.3342930747137
59.5,23.0719101408837,21.7147566737431,21.3405492114496
59.9999999999995,23.0879620038915,21.7243270810417,21.3468543766682
60,23.1039513983655,21.7339208863906,21.3532080222773
60.0000000000005,23.119877978961,21.7435372454871,21.3596095956964
60.5,23.1357414170991,21.7531753214955,21.3660585400816
61,23.1515414005695,21.7628342851021,21.3725542945484
61.5,23.1672776331429,21.7725133145644,21.3790962943899
62,23.1829498341899,21.782211595758,21.3856839712928
62.5,23.1985577383094,21.7919283222184,21.3923167535484
63,23.2141010949638,21.8016626951795,21.398994066261
63.5,23.2295796681225,21.8114139236082,21.4057153315529
64,23.2449932359123,21.8211812242357,21.4124799687652
64.5,23.260341590276,21.8309638215854,21.4192873946559
65,23.2756245366372,21.8407609479969,21.4261370235938
65.5,23.2908418935731,21.8505718436476,21.4330282677494
66,23.3059934924937,21.8603957565703,21.4399605372819
66.5,23.3210791773279,21.8702319426686,21.4469332405237
67,23.3360988042161,21.8800796657286,21.45394578416
67.5,23.3510522412095,21.8899381974285,21.4609975734062
68,23.365939367976,21.8998068173447,21.4680880121814
68.5,23.3807600755116,21.9096848129559,21.4752165032783
69,23.3955142658587,21.9195714796442,21.4823824485306
69.5,23.4102018518299,21.9294661206937,21.4895852489758
70,23.4248227567381,21.9393680472875,21.4968243050158
70.5,23.4393769141316,21.9492765785007,21.5040990165735
71,23.4538642675359,21.9591910412932,21.5114087832465
71.5,23.4682847702,21.9691107704986,21.5187530044573
72,23.4826383848486,21.9790351088123,21.5261310796005
72.5,23.49692508344,21.9889634067765,21.5335424081867
73,23.5111448469281,21.998895022764,21.5409863899832
73.5,23.5252976650303,22.0088293229602,21.5484624251515
74,23.5393835360004,22.0187656813423,21.555969914382
74.5,23.5534024664061,22.0287034796581,21.5635082590254
75,23.5673544709111,22.0386421074022,21.5710768612207
75.5,23.5812395720622,22.0485809617908,21.578675124021
76,23.5950578000811,22.0585194477349,21.5863024515156
76.5,23.6088091926603,22.0684569778127,21.5939582489496
77,23.6224937947636,22.078392972239,21.60164192284
77.5,23.6361116584307,22.0883268588351,21.6093528810898
78,23.6496628425868,22.0982580729959,21.6170905330983
78.5,23.663147412855,22.1081860576566,21.6248542898693
79,23.6765654413738,22.1181102632576,21.6326435641162
79.5,23.6899170066185,22.1280301477086,21.6404577703642
80,23.7032021932257,22.1379451763517,21.64829632505
80.5,23.7164210918226,22.1478548219227,21.6561586466189
81,23.7295737988593,22.1577585645126,21.6640441556192
81.5,23.7426604164451,22.1676558915265,21.6719522747936
82,23.7556810521881,22.1775462976434,21.6798824291684
82.5,23.7686358190388,22.1874292847733,21.6878340461403
83,23.7815248351366,22.1973043620149,21.6958065555603
83.5,23.7943482236597,22.2071710456118,21.7037993898154
84,23.8071061126788,22.2170288589078,21.7118119839074
84.5,23.8197986350135,22.226877332302,21.7198437755302
85,23.832425928092,22.2367160032025,21.7278942051437
85.5,23.844988133814,22.2465444159802,21.7359627160461
86,23.8574853984164,22.2563621219216,21.7440487544436
86.5,23.8699178723424,22.2661686791807,21.7521517695179
