temps_s,T1_C,T2_C,T3_C
165.590,45.13,36.60,34.43
166.094,45.16,36.60,34.43
166.597,45.16,36.64,34.46
167.101,45.20,36.64,34.46
167.604,45.20,36.67,34.50
168.107,45.24,36.70,34.53
168.610,45.27,36.70,34.53
169.114,45.27,36.73,34.57
169.618,45.31,36.73,34.60
170.121,45.35,36.77,34.60
170.624,45.35,36.77,34.64
171.127,45.35,36.80,34.67
171.631,45.39,36.83,34.71
172.134,45.42,36.83,34.71
172.638,45.42,36.86,34.74
173.140,45.46,36.90,34.78
173.644,45.46,36.93,34.81
174.148,45.50,36.93,34.81
174.651,45.50,36.96,34.85
175.155,45.54,36.99,34.85
175.657,45.54,36.99,34.88
176.161,45.54,37.03,34.92
176.664,45.57,37.06,34.92
177.168,45.57,37.06,34.95
177.671,45.61,37.09,34.99
178.174,45.61,37.09,34.99
178.677,45.61,37.12,35.02
179.181,45.65,37.16,35.02
179.685,45.69,37.16,35.06
180.188,45.69,37.19,35.09
180.691,45.69,37.22,35.09
181.194,45.69,37.22,35.12
181.698,45.72,37.25,35.12
182.201,45.72,37.29,35.16
182.705,45.72,37.29,35.19
183.207,45.72,37.32,35.19
183.711,45.76,37.32,35.23
184.214,45.76,37.35,35.26
184.718,45.80,37.35,35.30
185.221,45.80,37.38,35.30
185.724,45.84,37.38,35.33
186.228,45.84,37.42,35.37
186.731,45.87,37.42,35.37
187.235,45.87,37.45,35.40
187.737,45.91,37.45,35.44
188.241,45.91,37.48,35.44
188.744,45.95,37.51,35.47
189.248,45.99,37.51,35.47
189.752,45.99,37.55,35.51
190.254,45.99,37.58,35.54
190.758,46.02,37.58,35.54
191.261,46.06,37.61,35.58
191.765,46.06,37.61,35.58
192.268,46.10,37.64,35.61
192.771,46.10,37.64,35.61
193.274,46.14,37.68,35.65
193.778,46.14,37.68,35.65
194.282,46.14,37.71,35.68
194.785,46.17,37.74,35.68
195.288,46.21,37.74,35.72
195.791,46.17,37.77,35.75
196.295,46.21,37.77,35.75
196.798,46.21,37.81,35.75
197.302,46.25,37.81,35.79
197.804,46.25,37.84,35.79
198.308,46.29,37.84,35.82
198.811,46.32,37.87,35.82
199.315,46.32,37.87,35.86
199.819,46.36,37.91,35.86
200.321,46.36,37.91,35.89
200.825,46.40,37.91,35.89
201.328,46.40,37.94,35.93
201.832,46.40,37.94,35.93
202.335,46.44,37.94,35.96
202.838,46.44,37.97,35.96
203.341,46.44,38.00,35.96
203.845,46.47,38.00,36.00
204.348,46.47,38.04,36.03
204.852,46.47,38.04,36.03
205.355,46.51,38.04,36.03
205.858,46.51,38.07,36.07
206.362,46.51,38.07,36.07
206.865,46.51,38.07,36.10
207.369,46.51,38.10,36.10
207.871,46.55,38.10,36.14
208.375,46.55,38.13,36.14
208.878,46.55,38.13,36.14
209.382,46.59,38.17,36.17
209.885,46.59,38.17,36.21
210.388,46.63,38.20,36.21
210.892,46.63,38.23,36.24
211.395,46.66,38.23,36.27
211.899,46.66,38.23,36.27
212.402,46.66,38.23,36.27
212.905,46.70,38.23,36.31
213.408,46.70,38.23,36.31
213.912,46.66,38.23,36.31
214.415,46.66,38.23,36.34
214.919,46.66,38.26,36.34
215.421,46.70,38.26,36.34
215.925,46.70,38.30,36.38
216.429,46.70,38.30,36.38
216.932,46.70,38.33,36.41
217.436,46.70,38.36,36.45
217.938,46.70,38.40,36.45
218.442,46.70,38.40,36.48
218.945,46.70,38.43,36.52
219.449,46.74,38.46,36.52
219.951,46.74,38.46,36.55
220.455,46.74,38.49,36.55
220.958,46.74,38.49,36.59
221.462,46.78,38.49,36.59
221.966,46.78,38.49,36.62
222.468,46.81,38.53,36.66
222.972,46.85,38.53,36.66
223.475,46.89,38.53,36.69
223.979,46.89,38.56,36.69
224.482,46.93,38.56,36.73
224.985,46.97,38.59,36.73
225.488,46.97,38.59,36.73
225.992,47.00,38.63,36.76
226.495,47.00,38.63,36.76
226.999,47.00,38.66,36.80
227.502,47.00,38.66,36.80
228.005,47.00,38.66,36.83
228.509,47.00,38.66,36.83
229.012,47.00,38.69,36.87
229.516,47.00,38.69,36.87
230.018,47.00,38.72,36.87
230.522,47.04,38.72,36.90
231.025,47.04,38.76,36.90
231.529,47.08,38.76,36.94
232.032,47.12,38.79,36.94
232.535,47.12,38.79,36.94
233.038,47.12,38.82,36.97
233.542,47.16,38.82,36.97
234.045,47.16,38.82,37.01
234.549,47.19,38.85,37.01
235.052,47.19,38.85,37.01
235.555,47.19,38.89,37.04
236.059,47.23,38.89,37.04
236.562,47.23,38.92,37.08
237.066,47.27,38.92,37.08
237.568,47.31,38.92,37.08
238.072,47.31,38.95,37.11
238.575,47.35,38.95,37.11
239.079,47.35,38.99,37.15
239.582,47.38,38.99,37.15
240.085,47.38,39.02,37.15
240.588,47.42,39.02,37.15
241.092,47.38,39.02,37.15
241.596,47.38,39.05,37.18
242.099,47.42,39.05,37.18
242.602,47.42,39.05,37.22
243.105,47.42,39.08,37.22
243.609,47.42,39.08,37.22
244.112,47.42,39.12,37.22
244.616,47.42,39.12,37.25
245.118,47.46,39.15,37.25
245.622,47.42,39.15,37.25
246.125,47.42,39.15,37.29
246.629,47.42,39.15,37.29
247.133,47.46,39.18,37.32
247.635,47.42,39.18,37.32
248.139,47.42,39.22,37.36
248.642,47.42,39.22,37.36
249.146,47.46,39.22,37.36
249.649,47.46,39.25,37.40
250.152,47.46,39.25,37.40
250.655,47.46,39.25,37.43
251.159,47.46,39.25,37.43
251.663,47.46,39.28,37.43
252.165,47.46,39.28,37.43
252.669,47.46,39.32,37.47
253.172,47.46,39.32,37.47
253.676,47.46,39.32,37.50
254.179,47.50,39.32,37.50
254.682,47.46,39.35,37.54
255.185,47.46,39.35,37.54
255.689,47.46,39.38,37.57
256.192,47.50,39.38,37.57
256.696,47.46,39.38,37.57
257.199,47.50,39.41,37.61
257.702,47.46,39.41,37.61
258.206,47.46,39.41,37.61
258.709,47.46,39.41,37.64
259.213,47.50,39.45,37.64
259.715,47.46,39.45,37.64
260.219,47.50,39.48,37.68
260.722,47.50,39.48,37.68
261.226,47.46,39.48,37.68
261.730,47.50,39.51,37.71
262.232,47.46,39.51,37.71
262.736,47.50,39.55,37.71
263.239,47.50,39.55,37.71
263.743,47.50,39.55,37.75
264.246,47.50,39.58,37.78
264.749,47.50,39.58,37.78
265.252,47.50,39.61,37.78
265.756,47.50,39.61,37.78
266.260,47.50,39.61,37.82
266.763,47.50,39.65,37.82
267.266,47.50,39.65,37.82
267.769,47.50,39.65,37.82
268.273,47.50,39.65,37.85
268.776,47.50,39.68,37.85
269.280,47.50,39.68,37.85
269.782,47.50,39.71,37.89
270.286,47.46,39.71,37.89
270.789,47.50,39.71,37.89
271.293,47.50,39.71,37.89
271.797,47.50,39.71,37.92
272.299,47.50,39.74,37.92
272.803,47.50,39.74,37.92
273.306,47.50,39.74,37.96
273.810,47.50,39.74,37.96
274.313,47.50,39.74,37.99
274.816,47.50,39.74,37.99
275.319,47.46,39.78,37.99
275.823,47.50,39.78,37.99
276.327,47.50,39.81,38.03
276.830,47.50,39.81,38.03
277.333,47.50,39.84,38.03
277.836,47.50,39.84,38.06
278.340,47.50,39.84,38.06
278.843,47.50,39.88,38.06
279.347,47.50,39.88,38.10
279.849,47.50,39.88,38.10
280.353,47.50,39.88,38.10
280.856,47.50,39.88,38.13
281.360,47.50,39.91,38.13
