Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
81.39257813,30,0,16.75,22.36,24.61,,24.61,-40
81.89185119,30,0,16.71,22.36,24.57,,24.57,-40
82.38772631,30,0,16.66,22.3,24.54,,24.54,-40
82.88887835,30,0,16.62,22.23,24.47,,24.47,-40
83.40190387,30,0,16.62,22.23,24.43,,24.43,-40
83.89298844,30,0,16.57,22.2,24.4,,24.4,-40
84.39714122,30,0,16.57,22.13,24.36,,24.36,-40
84.90542698,30,0,16.53,22.1,24.29,,24.29,-40
85.39315081,30,0,16.48,22.06,24.26,,24.26,-40
85.88672423,30,0,16.44,22,24.22,,24.22,-40
86.39502048,30,0,16.44,22,24.19,,24.19,-40
86.8915484,30,0,16.39,21.93,24.15,,24.15,-40
87.4050076,30,0,16.35,21.9,24.08,,24.08,-40
87.90368629,30,0,16.35,21.86,24.05,,24.05,-40
88.40146613,30,0,16.3,21.83,24.01,,24.01,-40
88.89195967,30,0,16.26,21.8,23.94,,23.94,-40
89.39684296,30,0,16.26,21.73,23.9,,23.9,-40
89.91901779,30,0,16.21,21.7,23.87,,23.87,-40
90.41039205,30,0,16.21,21.66,23.83,,23.83,-40
90.91790891,30,0,16.17,21.63,23.76,,23.76,-40
91.42397094,30,0,16.17,21.63,23.73,,23.73,-40
91.91437674,30,0,16.12,21.56,23.69,,23.69,-40
92.42174816,30,0,16.08,21.53,23.66,,23.66,-40
92.92747879,30,0,16.03,21.5,23.62,,23.62,-40
93.4206841,30,0,16.03,21.46,23.55,,23.55,-40
93.91743636,30,0,15.99,21.4,23.52,,23.52,-40
94.43276644,30,0,15.99,21.4,23.48,,23.48,-40
94.92260361,30,0,15.94,21.33,23.41,,23.41,-40
95.40837312,30,0,15.94,21.29,23.41,,23.41,-40
95.93465161,30,0,15.85,21.26,23.34,,23.34,-40
96.41731739,30,0,15.85,21.23,23.3,,23.3,-40
96.92184687,30,0,15.81,21.19,23.27,,23.27,-40
97.43328309,30,0,15.81,21.16,23.23,,23.23,-40
97.92792416,30,0,15.77,21.13,23.2,,23.2,-40
98.46018982,30,0,15.72,21.06,23.16,,23.16,-40
98.93457246,30,0,15.72,21.06,23.13,,23.13,-40
99.67643285,30,0,15.68,21.03,23.06,,23.06,-40
100.2144957,30,0,15.63,20.99,23.06,,23.06,-40
100.710252,30,0,15.59,20.93,23.02,,23.02,-40
101.1215317,30,0,15.59,20.89,22.95,,22.95,-40
101.5332408,30,0,15.54,20.86,22.91,,22.91,-40
101.9380989,30,0,15.54,20.82,22.88,,22.88,-40
102.4503021,30,0,15.5,20.79,22.84,,22.84,-40
102.943152,30,0,15.5,20.76,22.81,,22.81,-40
103.448261,30,0,15.45,20.72,22.77,,22.77,-40
103.9526968,30,0,15.41,20.69,22.74,,22.74,-40
104.4409888,30,0,15.41,20.66,22.7,,22.7,-40
104.9538851,30,0,15.36,20.62,22.66,,22.66,-40
105.4436326,30,0,15.36,20.59,22.59,,22.59,-40
105.9499269,30,0,15.32,20.59,22.59,,22.59,-40
106.453995,30,0,15.27,20.52,22.52,,22.52,-40
106.9424679,30,0,15.23,20.49,22.49,,22.49,-40
107.451916,30,0,15.23,20.45,22.49,,22.49,-40
107.9433284,30,0,15.18,20.42,22.42,,22.42,-40
108.4656317,30,0,15.18,20.42,22.38,,22.38,-40
108.9489543,30,0,15.14,20.35,22.34,,22.34,-40
109.4681778,30,0,15.14,20.35,22.31,,22.31,-40
109.9597874,30,0,15.09,20.32,22.27,,22.27,-40
110.4671383,30,0,15.09,20.28,22.27,,22.27,-40
110.9662106,30,0,15.05,20.25,22.2,,22.2,-40
111.4482939,30,0,15,20.18,22.17,,22.17,-40
111.9713454,30,0,15,20.18,22.13,,22.13,-40
112.4633052,30,0,14.96,20.15,22.13,,22.13,-40
112.9694045,30,0,14.96,20.11,22.06,,22.06,-40
113.4774957,30,0,14.96,20.08,22.02,,22.02,-40
113.9692137,30,0,14.91,20.05,21.99,,21.99,-40
114.4941287,30,0,14.87,20.01,21.95,,21.95,-40
115.0001988,30,0,14.83,19.98,21.92,,21.92,-40
115.4682603,30,0,14.83,19.94,21.88,,21.88,-40
115.9849367,30,0,14.78,19.91,21.84,,21.84,-40
116.4795113,30,0,14.78,19.88,21.81,,21.81,-40
116.9848752,30,0,14.74,19.84,21.77,,21.77,-40
117.485383,30,0,14.74,19.84,21.74,,21.74,-40
117.9827771,30,0,14.69,19.77,21.7,,21.7,-40
118.4844339,30,0,14.69,19.77,21.66,,21.66,-40
118.9795501,30,0,14.65,19.74,21.63,,21.63,-40
119.4826338,30,0,14.6,19.71,21.59,,21.59,-40
119.9897883,30,0,14.6,19.67,21.56,,21.56,-40
120.4984045,30,0,14.56,19.64,21.56,,21.56,-40
120.9842622,30,0,14.51,19.6,21.52,,21.52,-40
121.4961574,30,0,14.51,19.6,21.49,,21.49,-40
122.0029342,30,0,14.51,19.57,21.45,,21.45,-40
122.4831617,30,0,14.47,19.5,21.41,,21.41,-40
123.002142,30,0,14.47,19.47,21.38,,21.38,-40
123.4853539,30,0,14.42,19.47,21.34,,21.34,-40
124.0011222,30,0,14.38,19.43,21.31,,21.31,-40
124.4885583,30,0,14.38,19.4,21.27,,21.27,-40
125.0018227,30,0,14.33,19.36,21.23,,21.23,-40
125.5097225,30,0,14.33,19.36,21.2,,21.2,-40
126.0142138,30,0,14.33,19.3,21.2,,21.2,-40
126.5037639,30,0,14.29,19.3,21.13,,21.13,-40
