Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
105.44304633140564,23.0,0.0,27.0,25.42,24.93,,24.93,10.0
105.95875310897827,23.0,0.0,27.0,25.45,24.93,,24.93,10.0
106.44287204742432,23.0,0.0,27.04,25.45,24.96,,24.96,10.0
106.94309830665588,23.0,0.0,27.04,25.45,24.96,,24.96,10.0
107.45955324172974,23.0,0.0,27.04,25.48,24.96,,24.96,10.0
107.96070981025696,23.0,0.0,27.04,25.48,25.0,,25.0,10.0
108.45648646354675,23.0,0.0,27.04,25.48,25.0,,25.0,10.0
108.96371626853943,23.0,0.0,27.09,25.48,25.0,,25.0,10.0
109.47248578071594,23.0,0.0,27.09,25.48,25.0,,25.0,10.0
109.96079611778259,23.0,0.0,27.09,25.51,25.03,,25.03,10.0
110.45391511917114,23.0,0.0,27.09,25.51,25.03,,25.03,10.0
110.96133589744568,23.0,0.0,27.09,25.51,25.03,,25.03,10.0
111.46494245529175,23.0,0.0,27.09,25.51,25.03,,25.03,10.0
111.96927499771118,23.0,0.0,27.09,25.55,25.07,,25.07,10.0
112.45996499061584,23.0,0.0,27.13,25.55,25.07,,25.07,10.0
112.96163749694824,23.0,0.0,27.13,25.55,25.07,,25.07,10.0
113.46174931526184,23.0,0.0,27.13,25.55,25.07,,25.07,10.0
113.97750997543335,23.0,0.0,27.13,25.55,25.07,,25.07,10.0
114.45991945266724,23.0,0.0,27.13,25.58,25.1,,25.1,10.0
114.96083331108093,23.0,0.0,27.18,25.58,25.1,,25.1,10.0
115.4745090007782,23.0,0.0,27.18,25.58,25.1,,25.1,10.0
115.97654747962952,23.0,0.0,27.18,25.58,25.1,,25.1,10.0
116.47733616828918,23.0,0.0,27.18,25.61,25.14,,25.14,10.0
116.98775458335876,23.0,0.0,27.18,25.61,25.14,,25.14,10.0
117.48037505149841,23.0,0.0,27.18,25.61,25.14,,25.14,10.0
117.98592138290405,23.0,0.0,27.18,25.61,25.14,,25.14,10.0
118.4906976222992,23.0,0.0,27.18,25.61,25.14,,25.14,10.0
118.98031163215637,23.0,0.0,27.18,25.61,25.17,,25.17,10.0
119.4768898487091,23.0,0.0,27.22,25.64,25.17,,25.17,10.0
119.99166178703308,23.0,0.0,27.22,25.64,25.17,,25.17,10.0
120.47760128974915,23.0,0.0,27.22,25.64,25.17,,25.17,10.0
120.98616790771484,23.0,0.0,27.22,25.68,25.17,,25.17,10.0
121.49536895751953,23.0,0.0,27.22,25.68,25.21,,25.21,10.0
122.00337052345276,23.0,0.0,27.22,25.68,25.21,,25.21,10.0
122.4850127696991,23.0,0.0,27.22,25.68,25.21,,25.21,10.0
123.00019431114197,23.0,0.0,27.27,25.68,25.21,,25.21,10.0
123.50201892852783,23.0,0.0,27.27,25.71,25.24,,25.24,10.0
123.99399900436401,23.0,0.0,27.27,25.71,25.24,,25.24,10.0
124.49644923210144,23.0,0.0,27.27,25.71,25.24,,25.24,10.0
125.00089931488037,23.0,0.0,27.31,25.71,25.24,,25.24,10.0
125.50650477409363,23.0,0.0,27.27,25.71,25.24,,25.24,10.0
126.00206089019775,23.0,0.0,27.27,25.74,25.28,,25.28,10.0
126.50592231750488,23.0,0.0,27.31,25.74,25.28,,25.28,10.0
127.00252985954285,23.0,0.0,27.31,25.74,25.28,,25.28,10.0
127.51424241065979,23.0,0.0,27.31,25.74,25.28,,25.28,10.0
128.01652765274048,23.0,0.0,27.31,25.74,25.28,,25.28,10.0
128.5030267238617,23.0,0.0,27.31,25.77,25.28,,25.28,10.0
129.0103006362915,23.0,0.0,27.36,25.77,25.31,,25.31,10.0
129.51567840576172,23.0,0.0,27.36,25.77,25.31,,25.31,10.0
130.0181064605713,23.0,0.0,27.36,25.77,25.31,,25.31,10.0
130.50821089744568,23.0,0.0,27.36,25.81,25.31,,25.31,10.0
131.0194661617279,23.0,0.0,27.36,25.81,25.31,,25.31,10.0
131.52753949165344,23.0,0.0,27.36,25.81,25.35,,25.35,10.0
132.0166220664978,23.0,0.0,27.36,25.81,25.35,,25.35,10.0
132.5216031074524,23.0,0.0,27.36,25.81,25.35,,25.35,10.0
133.02661156654358,23.0,0.0,27.36,25.84,25.35,,25.35,10.0
133.535169839859,23.0,0.0,27.4,25.81,25.38,,25.38,10.0
134.0113561153412,23.0,0.0,27.4,25.84,25.38,,25.38,10.0
134.53807163238525,23.0,0.0,27.4,25.84,25.38,,25.38,10.0
135.02968406677246,23.0,0.0,27.4,25.84,25.38,,25.38,10.0
135.5365777015686,23.0,0.0,27.4,25.84,25.38,,25.38,10.0
136.02798771858215,23.0,0.0,27.4,25.87,25.42,,25.42,10.0
136.53104162216187,23.0,0.0,27.4,25.87,25.42,,25.42,10.0
137.04072904586792,23.0,0.0,27.4,25.87,25.42,,25.42,10.0
