Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
153.08375787734985,23.0,0.0,15.81,18.54,19.35,,19.35,-20.0
153.5619192123413,23.0,0.0,15.81,18.54,19.35,,19.35,-20.0
154.08334493637085,23.0,0.0,15.81,18.54,19.38,,19.38,-20.0
154.56684947013855,23.0,0.0,15.77,18.54,19.35,,19.35,-20.0
155.0812647342682,23.0,0.0,15.77,18.5,19.35,,19.35,-20.0
155.58312821388245,23.0,0.0,15.77,18.5,19.35,,19.35,-20.0
156.0809257030487,23.0,0.0,15.77,18.5,19.27,,19.27,-20.0
156.58350348472595,23.0,0.0,15.77,18.5,19.31,,19.31,-20.0
157.0753891468048,23.0,0.0,15.77,18.5,19.31,,19.31,-20.0
157.58158373832703,23.0,0.0,15.77,18.5,19.27,,19.27,-20.0
158.08274602890015,23.0,0.0,15.72,18.47,19.27,,19.27,-20.0
158.5924937725067,23.0,0.0,15.77,18.47,19.27,,19.27,-20.0
159.1002321243286,23.0,0.0,15.72,18.47,19.24,,19.24,-20.0
159.58318614959717,23.0,0.0,15.72,18.43,19.27,,19.27,-20.0
160.09578227996826,23.0,0.0,15.72,18.43,19.24,,19.24,-20.0
160.60022473335266,23.0,0.0,15.72,18.43,19.24,,19.24,-20.0
161.08329129219055,23.0,0.0,15.72,18.43,19.2,,19.2,-20.0
161.59801602363586,23.0,0.0,15.68,18.43,19.24,,19.24,-20.0
162.0919086933136,23.0,0.0,15.72,18.4,19.2,,19.2,-20.0
162.59672808647156,23.0,0.0,15.68,18.43,19.2,,19.2,-20.0
163.10182857513428,23.0,0.0,15.68,18.4,19.2,,19.2,-20.0
163.61031794548035,23.0,0.0,15.68,18.4,19.2,,19.2,-20.0
164.0929777622223,23.0,0.0,15.68,18.4,19.16,,19.16,-20.0
164.5916314125061,23.0,0.0,15.68,18.4,19.16,,19.16,-20.0
165.11603379249573,23.0,0.0,15.68,18.37,19.16,,19.16,-20.0
165.60601592063904,23.0,0.0,15.63,18.37,19.16,,19.16,-20.0
166.11316776275635,23.0,0.0,15.68,18.37,19.16,,19.16,-20.0
166.59891557693481,23.0,0.0,15.68,18.37,19.13,,19.13,-20.0
167.11270117759705,23.0,0.0,15.63,18.37,19.13,,19.13,-20.0
167.61642050743103,23.0,0.0,15.63,18.33,19.13,,19.13,-20.0
168.11661076545715,23.0,0.0,15.68,18.33,19.13,,19.13,-20.0
168.6120216846466,23.0,0.0,15.63,18.33,19.13,,19.13,-20.0
169.11828517913818,23.0,0.0,15.68,18.33,19.13,,19.13,-20.0
169.6165795326233,23.0,0.0,15.68,18.33,19.09,,19.09,-20.0
170.13000512123108,23.0,0.0,15.63,18.3,19.09,,19.09,-20.0
170.60852813720703,23.0,0.0,15.63,18.3,19.09,,19.09,-20.0
171.12490129470825,23.0,0.0,15.59,18.3,19.09,,19.09,-20.0
171.62989354133606,23.0,0.0,15.63,18.3,19.09,,19.09,-20.0
172.11267685890198,23.0,0.0,15.63,18.3,19.05,,19.05,-20.0
172.63330054283142,23.0,0.0,15.59,18.26,19.05,,19.05,-20.0
173.12397527694702,23.0,0.0,15.59,18.26,19.05,,19.05,-20.0
173.6330864429474,23.0,0.0,15.59,18.3,19.05,,19.05,-20.0
174.13336873054504,23.0,0.0,15.59,18.26,19.05,,19.05,-20.0
174.6268253326416,23.0,0.0,15.59,18.26,19.02,,19.02,-20.0
175.1324074268341,23.0,0.0,15.59,18.26,19.02,,19.02,-20.0
175.64036083221436,23.0,0.0,15.59,18.26,19.02,,19.02,-20.0
176.1316740512848,23.0,0.0,15.59,18.23,19.05,,19.05,-20.0
176.63301515579224,23.0,0.0,15.59,18.23,19.02,,19.02,-20.0
177.1409227848053,23.0,0.0,15.59,18.23,18.98,,18.98,-20.0
177.63290309906006,23.0,0.0,15.54,18.19,18.98,,18.98,-20.0
178.13291430473328,23.0,0.0,15.54,18.19,18.98,,18.98,-20.0
178.6419219970703,23.0,0.0,15.59,18.23,18.98,,18.98,-20.0
179.13435769081116,23.0,0.0,15.54,18.23,18.98,,18.98,-20.0
179.63260555267334,23.0,0.0,15.54,18.19,18.94,,18.94,-20.0
180.14640474319458,23.0,0.0,15.54,18.19,18.94,,18.94,-20.0
180.63596963882446,23.0,0.0,15.5,18.19,18.94,,18.94,-20.0
181.15785455703735,23.0,0.0,15.54,18.19,18.94,,18.94,-20.0
