time,signal1,signal2
333,28,27.6013972582062
333.5,28,27.6030884790598
334,28,27.6048103137437
334.5,28,27.6065623516202
335,28,27.6083441813319
335.5,28,27.6101553908571
336,28,27.6119955675638
336.5,28,27.6138642982644
337,28,27.6157611692693
337.5,28,27.6176857664405
338,28,27.6196376752449
338.5,28,27.6216164808073
339,28,27.6236217679625
339.5,28,27.6256531213081
340,28,27.6277101252559
340.5,28,27.6297923640834
341,28,27.6318994219852
341.5,28,27.6340308831237
342,28,27.6361863316794
342.5,28,27.6383653519009
343,28,27.6405675281546
343.5,28,27.6427924449743
344,28,27.6450396871097
344.5,28,27.647308839575
345,28,27.6495994876973
345.5,28,27.6519112171641
346,28,27.6542436140709
346.5,28,27.656596264968
347,28,27.6589687569071
347.5,28,27.6613606774876
348,28,27.6637716149022
348.5,28,27.6662011579825
349,28,27.6686488962439
349.5,28,27.6711144199301
350,28,27.6735973200572
350.5,28,27.6760971884577
351,28,27.6786136178234
351.5,28,27.6811462017489
352,28,27.6836945347735
352.5,28,27.6862582124236
353,28,27.6888368312543
353.5,28,27.6914299888905
354,28,27.6940372840679
354.5,28,27.6966583166731
355,28,27.6992926877836
355.5,28,27.7019399997075
356,28,27.7045998560223
356.5,28,27.7072718616138
357,28,27.7099556227138
357.5,28,27.7126507469384
358,28,27.7153568433251
358.5,28,27.7180735223694
359,28,27.7208003960617
359.5,28,27.7235370779229
360,28,27.7262831830401
360.5,28,27.7290383281017
361,28,27.7318021314318
361.5,28,27.7345742130248
362,28,27.7373541945788
362.5,28,27.740141699529
363,28,27.7429363530808
363.5,28,27.7457377822416
364,28,27.7485456158533
364.5,28,27.7513594846235
365,28,27.7541790211566
365.5,28,27.7570038599844
366,28,27.7598336375964
366.5,28,27.7626679924688
367,28,27.7655065650948
367.5,28,27.7683489980124
368,28,27.7711949358331
368.5,28,27.7740440252698
369,28,27.7768959151641
369.5,28,27.7797502565135
370,28,27.7826067024972
370.5,28,27.7854649085031
371,28,27.7883245321525
371.5,28,27.7911852333257
372,28,27.7940466741869
372.5,28,27.7969085192076
373,28,27.7997704351913
373.5,28,27.802632091296
374,28,27.8054931590578
374.5,28,27.8083533124127
375,28,27.8112122277189
375.5,28,27.8140695837781
376,28,27.816925061857
376.5,28,27.8197783457071
377,28,27.8226291215858
377.5,28,27.8254770782753
378,28,27.8283219071024
378.5,28,27.8311633019571
379,28,27.834000959311
379.5,28,27.8368345782352
380,28,27.8396638604179
380.5,28,27.8424885101813
381,28,27.8453082344984
381.5,28,27.8481227430089
382,28,27.8509317480351
382.5,28,27.8537349645974
383,28,27.8565321104286
383.5,28,27.8593229059888
384,28,27.8621070744792
384.5,28,27.8648843418558
385,28,27.8676544368423
385.5,28,27.8704170909431
386,28,27.8731720384551
386.5,28,27.8759190164801
387,28,27.878657764936
387.5,28,27.8813880265676
388,28,27.8841095469574
388.5,28,27.886822074536
389,28,27.8895253605912
389.5,28,27.8922191592779
390,28,27.8949032276271
390.5,28,27.8975773255536
391,28,27.9002412158651
391.5,28,27.9028946642694
392,28,27.9055374393816
392.5,28,27.9081693127312
393,28,27.9107900587687
393.5,28,27.9133994548713
394,28,27.9159972813489
394.5,28,27.9185833214494
395,28,27.9211573613634
395.5,28,27.923719190229
396,28,27.9262686001356
396.5,28,27.9288053861281
397,28,27.9313293462098
397.5,28,27.9338402813455
398,28,27.9363379954645
398.5,28,27.9388222954622
399,28,27.9412929912025
399.5,28,27.9437498955189
400,28,27.946192824216
400.5,28,27.9486215960698
401,28,27.9510360328286
401.5,28,27.9534359592126
402,28,27.9558212029136
402.5,28,27.9581915945949
403,28,27.9605469678893
403.5,28,27.9628871593987
404,28,27.9652120086916
404.5,28,27.9675213583015
405,28,27.9698150537242
405.5,28,27.9720929434153
406,28,27.974354878787
406.5,28,27.9766007142044
407,28,27.9788303069822
407.5,28,27.9810435173805
408,28,27.9832402086
408.5,28,27.9854202467779
409,28,27.9875835009824
409.5,28,27.9897298432073
410,28,27.9918591483667
410.5,28,27.9939712942889
411,28,27.9960661617096
411.5,28,27.9981436342662
412,28,28.0002035984901
412.5,28,28.0022459437998
413,28,28.0042705624937
413.5,28,28.0062773497416
414,28,28.0082662035776
414.5,28,28.0102370248907
415,28,28.012189717417
415.5,28,28.0141241877303
416,28,28.016040345233
416.5,28,28.0179381021468
417,28,28.0198173735028
417.5,28,28.0216780771314
418,28,28.0235201336522
418.5,28,28.0253434664635
419,28,28.0271480017313
419.5,28,28.0289336683783
420,28,28.030700398073
420.5,28,28.0324481252173
421,28,28.0341767869358
421.5,28,28.0358863230627
422,28,28.0375766761302
422.5,28,28.0392477913559
423,28,28.0408996166299
423.5,28,28.0425321025019
424,28,28.0441452021679
424.5,28,28.0457388714569
425,28,28.0473130688174
425.5,28,28.0488677553033
426,28,28.0504028945599
426.5,28,28.0519184528095
427,28,28.0534143988372
427.5,28,28.0548907039762
428,28,28.0563473420925
428.5,28,28.0577842895703
429,28,28.0592015252964
429.5,28,28.0605990306448
430,28,28.0619767894613
430.5,28,28.0633347880472
431,28,28.0646730151438
431.5,28,28.0659914619157
432,28,28.0672901219347
432.5,28,28.0685689911633
433,28,28.0698280679379
433.5,28,28.0710673529518
434,28,28.0722868492386
434.5,28,28.0734865621543
435,28,28.0746664993606
435.5,28,28.0758266708072
436,28,28.0769670887139
436.5,28,28.0780877675532
437,28,28.079188724032
437.5,28,28.0802699770738
438,28,28.0813315478003
438.5,28,28.0823734595134
439,28,28.0833957376761
439.5,28,28.0843984098945
440,28,28.0853815058988
440.5,28,28.0863450575245
441,28,28.0872890986933
441.5,28,28.0882136653945
442,28,28.0891187956653
442.5,28,28.0900045295715
443,28,28.0908709091887
443.5,28,28.091717978582
444,28,28.0925457837873
444.5,28,28.0933543727906
445,28,28.0941437955091
445.5,28,28.0949141037708
446,28,28.0956653512948
446.5,28,28.0963975936713
447,28,28.0971108883409
447.5,28,28.0978052945754
448,28,28.0984808734567
448.5,28,28.0991376878568
449,28,28.0997758024174
449.5,28,28.1003952835292
450,28,28.1009961993116
450.5,28,28.1015786195923
451,28,28.1021426158859
451.5,28,28.1026882613741
452,28,28.1032156308842
452.5,28,28.1037248008688
453,28,28.1042158493848
453.5,28,28.1046888560724
454,28,28.1051439021341
454.5,28,28.1055810703142
455,28,28.1060004448771
455.5,28,28.106402111587
456,28,28.1067861576863
456.5,28,28.1071526718747
457,28,28.1075017442882
457.5,28,28.1078334664777
458,28,28.1081479313883
458.5,28,28.1084452333375
459,28,28.1087254679948
459.5,28,28.1089887323597
460,28,28.1092351247413
460.5,28,28.1094647447365
461,28,28.1096776932091
461.5,28,28.1098740722686
462,28,28.110053985249
462.5,28,28.1102175366874
463,28,28.1103648323032
463.5,28,28.1104959789766
464,28,28.1106110847278
464.5,28,28.1107102586954
465,28,28.1107936111157
465.5,28,28.1108612533015
466,28,28.1109132976209
466.5,28,28.1109498574764
467,28,28.1109710472837
467.5,28,28.110976982451
468,28,28.1109677793578
468.5,28,28.1109435553339
469,28,28.110904428639
469.5,28,28.1108505184414
470,28,28.1107819447972
470.5,28,28.1106988286297
471,28,28.110601291709
471.5,28,28.1104894566305
472,28,28.1103634467951
472.5,28,28.1102233863882
473,28,28.1100694003594
473.5,28,28.1099016144019
474,28,28.1097201549321
474.5,28,28.1095251490695
475,28,28.1093167246162
475.5,28,28.1090950100366
476,28,28.1088601344377
476.5,28,28.1086122275485
477,28,28.1083514197005
477.5,28,28.1080778418073
478,28,28.1077916253451
478.5,28,28.1074929023327
479,28,28.107181805312
479.5,28,28.1068584673282
480,28,28.1065230219104
480.5,28,28.1061756030519
481,28,28.1058163451913
481.5,28,28.1054453831926
482,28,28.1050628523266
482.5,28,28.1046688882513
483,28,28.1042636269933
483.5,28,28.1038472049286
484,28,28.1034197587637
484.5,28,28.1029814255173
485,28,28.1025323425011
485.5,28,28.1020726473019
486,28,28.1016024777626
486.5,28,28.101121971964
487,28,28.1006312682069
487.5,28,28.1001305049937
488,28,28.0996198210103
488.5,28,28.0990993551085
489,28,28.0985692462879
489.5,28,28.0980296336784
490,28,28.0974806565226
490.5,28,28.0969224541583
491,28,28.0963551660011
491.5,28,28.0957789315273
492,28,28.0951938902568
492.5,28,28.0946001817359
493,28,28.0939979455206
493.5,28,28.0933873211599
494,28,28.092768448179
494.5,28,28.0921414660627
495,28,28.0915065142396
495.5,28,28.0908637320649
496,28,28.0902132588054
496.5,28,28.0895552336222
497,28,28.0888897955562
497.5,28,28.0882170835111
498,28,28.0875372362387
498.5,28,28.0868503923228
499,28,28.0861566901643
499.5,28,28.0854562679657
500,28,28.0847492637162
500.5,28,28.0840358151764
501,28,28.0833160598639
501.5,28,28.0825901350385
502,28,28.0818581776874
502.5,28,28.0811203245111
503,28,28.080376711909
503.5,28,28.0796274759654
504,28,28.0788727524353
504.5,28,28.0781126767305
505,28,28.0773473839064
505.5,28,28.0765770086478
506,28,28.0758016852559
506.5,28,28.0750215476348
507,28,28.0742367292785
507.5,28,28.0734473632578
508,28,28.0726535822076
508.5,28,28.071855518314
509,28,28.0710533033018
509.5,28,28.0702470684223
510,28,28.0694369444408
510.5,28,28.0686230616246
511,28,28.0678055497308
511.5,28,28.0669845379948
512,28,28.0661601551186
512.5,28,28.0653325292589
513,28,28.0645017880163
513.5,28,28.0636680584234
514,28,28.0628314669343
514.5,28,28.0619921394136
515,28,28.061150201125
515.5,28,28.0603057767217
516,28,28.0594589902349
516.5,28,28.0586099650642
517,28,28.057758823967
517.5,28,28.0569056890489
518,28,28.0560506817531
518.5,28,28.0551939228515
519,28,28.0543355324347
519.5,28,28.0534756299024
