time,sortie
63,27.2003978445092
63.5,27.2284303673075
64,27.2562520940375
64.5,27.2838631510068
65,27.3112637069295
65.5,27.3384539716341
66,27.3654341947993
66.5,27.3922046647196
67,27.4187657070982
67.5,27.4451176838677
68,27.4712609920384
68.5,27.4971960625719
69,27.5229233592817
69.5,27.5484433777585
70,27.5737566443207
70.5,27.5988637149892
71,27.6237651744857
71.5,27.6484616352554
72,27.6729537365112
72.5,27.6972421433013
73,27.7213275455989
73.5,27.7452106574122
74,27.7688922159171
74.5,27.7923729806093
75,27.8156537324772
75.5,27.8387352731943
76,27.8616184243316
76.5,27.884304026588
77,27.9067929390399
77.5,27.9290860384094
78,27.9511842183494
78.5,27.9730883887465
79,27.9947994750418
79.5,28.0163184175668
80,28.0376461708975
80.5,28.058783703223
81,28.0797319957309
81.5,28.1004920420072
82,28.1210648474522
82.5,28.14145142871
83,28.1616528131138
83.5,28.1816700381437
84,28.2015041508997
84.5,28.2211562075875
85,28.2406272730177
85.5,28.259918420118
86,28.2790307294581
86.5,28.2979652887865
87,28.3167231925804
87.5,28.3353055416068
88,28.353713442495
88.5,28.3719480073211
89,28.3900103532037
89.5,28.4079016019091
90,28.4256228794694
90.5,28.4431753158088
91,28.4605600443817
91.5,28.4777782018196
92,28.4948309275888
92.5,28.5117193636569
93,28.5284446541685
93.5,28.5450079451311
94,28.5614103841082
94.5,28.5776531199231
95,28.5937373023695
95.5,28.6096640819313
96,28.6254346095107
96.5,28.6410500361636
97,28.6565115128433
97.5,28.6718201901518
98,28.6869772180984
98.5,28.7019837458653
99,28.716840921581
99.5,28.7315498921002
100,28.7461118027903
100.5,28.7605277973251
101,28.7747990174846
101.5,28.7889266029612
102,28.8029116911721
102.5,28.816755417078
103,28.8304589130073
103.5,28.844023308486
104,28.8574497300742
104.5,28.8707393012069
105,28.8838931420409
105.5,28.8969123693065
106,28.9097980961652
106.5,28.922551432071
107,28.9351734826382
107.5,28.9476653495126
108,28.9600281302483
108.5,28.9722629181884
109,28.9843708023507
109.5,28.9963528673175
110,29.0082101931295
110.5,29.0199438551837
111,29.0315549241363
111.5,29.043044465808
112,29.0544135410946
112.5,29.0656632058802
113,29.0767945109551
113.5,29.0878085019362
114,29.0987062191916
114.5,29.1094886977683
115,29.1201569673235
115.5,29.1307120520588
116,29.1411549706572
116.5,29.1514867362245
117,29.1617083562319
117.5,29.1718208324628
118,29.181825160962
118.5,29.1917223319876
119,29.2015133299659
119.5,29.2111991334482
120,29.220780715071
120.5,29.2302590415184
121,29.2396350734864
121.5,29.2489097656505
122,29.2580840666347
122.5,29.2671589189832
123,29.2761352591345
123.5,29.2850140173966
124,29.2937961179258
124.5,29.3024824787058
125,29.3110740115303
125.5,29.3195716219865
126,29.3279762094405
126.5,29.3362886670251
127,29.3445098816286
127.5,29.3526407338858
128,29.3606820981707
128.5,29.3686348425899
129,29.376499828979
129.5,29.3842779128992
130,29.3919699436358
130.5,29.3995767641987
131,29.4070992113233
131.5,29.4145381154733
132,29.4218943008446
132.5,29.429168585371
133,29.4363617807299
133.5,29.4434746923506
134,29.4505081194227
134.5,29.4574628549059
135,29.4643396855412
135.5,29.471139391863
136,29.4778627482116
136.5,29.4845105227474
137,29.491083477466
137.5,29.4975823682137
138,29.5040079447042
138.5,29.5103609505363
139,29.5166421232121
139.5,29.5228521941563
140,29.5289918887357
140.5,29.5350619262805
141,29.5410630201048
141.5,29.5469958775294
142,29.552861199904
142.5,29.5586596826307
143,29.564392015188
143.5,29.5700588811549
144,29.5756609582367
144.5,29.5811989182899
145,29.5866734273489
145.5,29.5920851456521
146,29.5974347276697
146.5,29.6027228221305
147,29.6079500720505
147.5,29.6131171147613
148,29.6182245819385
148.5,29.6232730996315
149,29.6282632882925
149.5,29.633195762807
150,29.6380711325238
150.5,29.6428900012854
151,29.6476529674591
151.5,29.6523606239684
152,29.6570135583238
152.5,29.6616123526551
153,29.6661575837429
153.5,29.6706498230512
154,29.6750896367591
154.5,29.6794775857941
155,29.6838142258642
155.5,29.6881001074913
156,29.6923357760439
156.5,29.6965217717707
157,29.7006586298335
157.5,29.704746880341
158,29.7087870483826
158.5,29.7127796540614
159,29.7167252125287
159.5,29.7206242340175
160,29.7244772238765
160.5,29.7282846826043
161,29.7320471058831
161.5,29.7357649846132
162,29.7394388049469
162.5,29.7430690483228
163,29.7466561914998
163.5,29.7502007065915
164,29.7537030611003
164.5,29.7571637179518
165,29.7605831355287
165.5,29.7639617677051
166,29.7673000638806
166.5,29.7705984690147
167,29.7738574236603
167.5,29.7770773639983
168,29.7802587218713
168.5,29.7834019248174
169,29.7865073961046
169.5,29.7895755547637
170,29.792606815623
170.5,29.7956015893411
171,29.798560282441
171.5,29.8014832973434
172,29.8043710323999
172.5,29.8072238819266
173,29.8100422362369
173.5,29.8128264816749
174,29.815577000648
174.5,29.8182941716603
175,29.8209783693445
175.5,29.8236299644954
176,29.8262493241016
176.5,29.8288368113782
177,29.8313927857992
177.5,29.8339176031291
178,29.8364116154552
178.5,29.8388751712192
179,29.8413086152492
179.5,29.8437122887905
180,29.8460865295377
180.5,29.8484316716655
181,29.8507480458598
181.5,29.8530359793487
182,29.8552957959332
182.5,29.8575278160175
183,29.85973235664
183.5,29.8619097315029
184,29.8640602510028
184.5,29.8661842222602
185,29.8682819491496
185.5,29.8703537323287
186,29.8723998692683
186.5,29.874420654281
187,29.8764163785505
187.5,29.8783873301607
188,29.8803337941239
188.5,29.8822560524098
189,29.8841543839734
189.5,29.8860290647837
190,29.887880367851
190.5,29.8897085632556
191,29.8915139181743
191.5,29.8932966969089
192,29.8950571609129
192.5,29.8967955688185
193,29.8985121764637
193.5,29.9002072369191
194,29.9018810005141
194.5,29.9035337148634
195,29.9051656248933
195.5,29.9067769728672
196,29.9083679984118
196.5,29.9099389385428
197,29.9114900276896
197.5,29.9130214977212
198,29.9145335779709
198.5,29.9160264952614
199,29.917500473929
199.5,29.9189557358486
200,29.9203925004575
200.5,29.9218109847799
201,29.9232114034504
201.5,29.9245939687383
202,29.9259588905703
202.5,29.9273063765549
203,29.9286366320045
203.5,29.9299498599593
204,29.9312462612095
204.5,29.9325260343181
205,29.9337893756435
205.5,29.9350364793615
206,29.9362675374875
206.5,29.9374827398984
207,29.9386822743543
207.5,29.9398663265201
208,29.9410350799867
208.5,29.9421887162921
209,29.9433274149428
209.5,29.9444513534343
210,29.9455607072718
210.5,29.9466556499907
211,29.9477363531767
211.5,29.9488029864863
212,29.9498557176665
212.5,29.9508947125745
213,29.9519201351975
213.5,29.9529321476721
214,29.9539309103032
214.5,29.9549165815836
215,29.9558893182128
215.5,29.9568492751153
216,29.95779660546
216.5,29.9587314606776
217,29.9596539904799
217.5,29.9605643428771
218,29.9614626641961
218.5,29.9623490990982
219,29.9632237905966
219.5,29.9640868800741
220,29.9649385072999
220.5,29.9657788104474
221,29.9666079261105
221.5,29.9674259893208
222,29.9682331335642
222.5,29.9690294907972
223,29.9698151914635
223.5,29.9705903645101
224,29.9713551374032
224.5,29.9721096361444
225,29.972853985286
225.5,29.9735883079471
226,29.9743127258284
226.5,29.9750273592283
227,29.9757323270573
227.5,29.9764277468534
228,29.9771137347969
228.5,29.9777904057251
229,29.9784578731469
229.5,29.979116249257
230,29.9797656449506
230.5,29.9804061698372
231,29.9810379322549
231.5,29.9816610392841
232,29.9822755967611
232.5,29.9828817092922
233,29.9834794802667
233.5,29.9840690118703
234,29.9846504050987
234.5,29.9852237597702
235,29.9857891745388
235.5,29.9863467469073
236,29.9868965732396
236.5,29.9874387487735
237,29.987973367633
237.5,29.9885005228409
238,29.9890203063305
238.5,29.9895328089581
239,29.9900381205149
239.5,29.9905363297386
240,29.9910275243253
240.5,29.991511790941
241,29.9919892152331
241.5,29.9924598818419
242,29.9929238744115
242.5,29.9933812756012
243,29.9938321670965
243.5,29.9942766296199
244,29.9947147429416
244.5,29.9951465858905
245,29.9955722363645
245.5,29.9959917713409
246,29.9964052668868
246.5,29.9968127981698
247,29.9972144394673
247.5,29.9976102641771
248,29.9980003448274
248.5,29.9983847530861
249,29.998763559771
249.5,29.9991368348593
250,29.9995046474968
250.5,29.9998670660078
251,30.0002241579043
251.5,30.0005759898947
252,30.0009226278938
252.5,30.0012641370311
253,30.00160058166
253.5,30.0019320253667
254,30.0022585309788
254.5,30.0025801605741
255,30.002896975489
255.5,30.003209036327
256,30.0035164029673
256.5,30.0038191345727
257,30.0041172895982
257.5,30.0044109257986
258,30.0047001002372
258.5,30.004984869293
259,30.0052652886693
259.5,30.0055414134008
260,30.0058132978618
260.5,30.0060809957732
261,30.0063445602109
261.5,30.0066040436123
262,30.0068594977842
262.5,30.0071109739102
263,30.0073585225573
263.5,30.0076021936836
264,30.007842036645
264.5,30.0080781002025
265,30.0083104325286
265.5,30.0085390812145
266,30.0087640932769
266.5,30.0089855151641
267,30.0092033927634
267.5,30.009417771407
268,30.0096286958787
268.5,30.0098362104202
269,30.0100403587375
269.5,30.0102411840071
270,30.010438728882
270.5,30.0106330354981
271,30.0108241454802
271.5,30.0110120999475
272,30.0111969395202
272.5,30.0113787043249
273,30.0115574340004
273.5,30.0117331677035
274,30.0119059441145
274.5,30.0120758014433
275,30.012242777434
275.5,30.0124069093712
276,30.0125682340849
276.5,30.0127267879563
277,30.0128826069224
277.5,30.0130357264819
278,30.0131861816998
278.5,30.013334007213
279,30.0134792372349
279.5,30.0136219055609
280,30.0137620455727
280.5,30.0138996902435
281,30.0140348721432
281.5,30.0141676234424
282,30.0142979759176
282.5,30.0144259609559
283,30.0145516095593
283.5,30.0146749523495
284,30.0147960195723
284.5,30.0149148411021
285,30.0150314464462
285.5,30.0151458647494
286,30.0152581247981
286.5,30.0153682550243
287,30.0154762835106
287.5,30.0155822379933
288,30.0156861458675
288.5,30.0157880341905
289,30.0158879296861
289.5,30.0159858587485
290,30.0160818474462
290.5,30.0161759215261
291,30.0162681064169
291.5,30.0163584272334
292,30.0164469087797
292.5,30.0165335755534
293,30.0166184517491
293.5,30.0167015612619
294,30.016782927691
294.5,30.0168625743435
295,30.0169405242376
295.5,30.017016800106
296,30.0170914243998
296.5,30.0171644192913
297,30.0172358066778
297.5,30.0173056081844
298,30.0173738451679
298.5,30.0174405387194
299,30.017505709668
299.5,30.0175693785836
300,30.0176315657801
300.5,30.0176922913187
301,30.0177515750105
301.5,30.01780943642
302,30.0178658948677
302.5,30.0179209694332
303,30.0179746789581
303.5,30.0180270420487
304,30.0180780770794
304.5,30.0181278021946
305,30.0181762353122
305.5,30.018223394126
306,30.0182692961087
306.5,30.0183139585142
307,30.0183573983804
307.5,30.0183996325319
308,30.0184406775826
308.5,30.0184805499379
309,30.0185192657978
309.5,30.0185568411589
310,30.0185932918171
310.5,30.0186286333699
311,30.0186628812189
311.5,30.0186960505723
312,30.0187281564471
312.5,30.0187592136711
313,30.0187892368859
313.5,30.0188182405487
314,30.0188462389345
314.5,30.0188732461386
315,30.0188992760786
315.5,30.0189243424964
316,30.018948458961
316.5,30.0189716388696
317,30.0189938954506
317.5,30.0190152417652
318,30.0190356907094
318.5,30.0190552550164
319,30.0190739472582
319.5,30.0190917798476
320,30.0191087650404
320.5,30.0191249149371
321,30.0191402414849
321.5,30.0191547564795
322,30.0191684715669
322.5,30.0191813982455
323,30.0191935478677
323.5,30.0192049316416
324,30.0192155606329
324.5,30.0192254457667
325,30.0192345978291
325.5,30.0192430274689
326,30.0192507451995
326.5,30.0192577614002
327,30.0192640863181
327.5,30.0192697300699
328,30.0192747026428
328.5,30.019279013897
329,30.0192826735666
329.5,30.0192856912613
