Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),R1,R,R3
79.79922485351562,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
80.26752614974976,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
80.75235652923584,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9055.28
81.26583933830261,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
81.79496026039124,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
82.3132996559143,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
82.86155152320862,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
83.3635642528534,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
83.911794424057,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
84.40893411636353,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
84.91230821609497,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
85.41299414634705,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
85.9127562046051,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
86.41261911392212,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
86.89479231834412,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
87.38122725486755,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
87.86260485649109,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
88.37771677970886,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
88.86840081214905,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
89.35415625572205,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
89.86873435974121,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
90.33587694168091,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
90.80457901954651,20.0,0.0,28.92,27.61,27.4,,27.4,10.0,8171.81,8903.43,9055.28
91.27128434181213,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8903.43,9055.28
91.74492049217224,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8903.43,9055.28
92.21114110946655,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8903.43,9055.28
92.66114735603333,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8903.43,9055.28
93.1140296459198,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8903.43,9055.28
93.57995557785034,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8903.43,9055.28
94.04785323143005,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8903.43,9055.28
94.51672077178955,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
94.9691710472107,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8903.43,9055.28
95.4214825630188,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8903.43,9055.28
95.87102556228638,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8916.06,9055.28
96.32194018363953,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8903.43,9055.28
96.7745749950409,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8916.06,9055.28
97.24243426322937,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
97.71157503128052,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8916.06,9055.28
98.15747094154358,20.0,0.0,28.88,27.61,27.4,,27.4,10.0,8188.38,8916.06,9055.28
98.62709927558899,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
